meanedge,threshold
3.435900,0.900313
3.711110,0.922656
3.924530,0.930391
3.303370,0.890859
3.637250,0.914062
3.607140,0.920078
3.890320,0.926953
3.613640,0.920938
3.656250,0.907187
3.666670,0.921797
3.553030,0.915781
3.389830,0.908906
3.160380,0.895156
3.512820,0.902891
3.771140,0.923516
3.744190,0.923516
3.534480,0.917500
3.347830,0.893438
3.539330,0.899453
3.849560,0.926953
3.588240,0.914062
3.326730,0.906328
3.540980,0.917500
3.292130,0.903750
3.517240,0.916641
3.767860,0.925234
3.503030,0.914922
3.815530,0.931250
3.793890,0.925234
3.522940,0.917500
3.897440,0.931250
3.156250,0.894297
3.259540,0.902891
3.153850,0.892578
3.086210,0.888672
3.479340,0.911484
3.796120,0.925234
3.420000,0.910625
3.640520,0.920938
3.464290,0.910625
3.444440,0.909766
3.488370,0.900313
3.320000,0.905469
3.304350,0.907187
3.394740,0.909766
3.243900,0.895156
3.640000,0.917500
3.552150,0.905469
3.883500,0.925234
3.937140,0.927812
3.485030,0.914062
3.523260,0.912344
3.701300,0.920078
3.521740,0.917500
3.590160,0.918359
3.882350,0.928672
3.945450,0.927812
3.644440,0.920938
3.636360,0.920938
3.777780,0.925234
3.057140,0.882812
3.423080,0.905469
3.979590,0.930391
3.180330,0.896875
3.055560,0.885742
3.775510,0.922656
3.956520,0.932109
3.230770,0.897734
3.290600,0.903750
3.647060,0.902891
3.928570,0.929531
3.687500,0.907187
3.277230,0.900313
3.582680,0.916641
3.434210,0.902891
3.560340,0.919219
3.641510,0.920078
3.958330,0.916641
3.483220,0.913203
3.647060,0.920938
3.657530,0.924375
3.975610,0.920938
3.490200,0.914062
3.983240,0.933828
3.769230,0.922656
3.256200,0.899453
3.691590,0.923516
3.916670,0.929531
3.027780,0.882812
3.287770,0.905469
3.450000,0.914062
3.175000,0.890625
3.326920,0.904609
3.722220,0.921797
3.410600,0.911484
3.856410,0.927812
3.240960,0.900313
3.459460,0.910625
3.500000,0.914062
3.859650,0.930391
3.244900,0.898594
3.260870,0.897734
3.564710,0.917500
3.888890,0.923516
3.743360,0.924375
3.166670,0.890859
3.866670,0.929531
3.641510,0.910625
3.930850,0.928672
3.913040,0.928672
3.927150,0.928672
3.950620,0.918359
3.453330,0.897734
3.776470,0.924375
3.961540,0.914062
3.973090,0.929531
3.430770,0.909766
3.582090,0.914062
3.288140,0.902891
3.776470,0.927812
3.520550,0.915781
3.974360,0.932109
3.955880,0.923516
3.969700,0.927812
3.753620,0.925234
3.581820,0.920938
3.792790,0.923516
3.606560,0.920078
3.161290,0.893438
3.235290,0.897734
3.416670,0.902891
3.220000,0.890625
3.593940,0.914922
3.783780,0.923516
3.269230,0.899453
3.891090,0.920078
3.707070,0.917500
3.838980,0.928672
3.969230,0.932969
3.338710,0.891719
3.638300,0.920078
3.102560,0.890859
3.774190,0.926953
3.692310,0.923516
3.235960,0.897734
3.476190,0.914922
3.440370,0.913203
3.845240,0.923516
3.348840,0.903750
3.806450,0.926094
3.089890,0.887695
3.777780,0.926094
3.684680,0.924375
3.356160,0.890625
3.388350,0.908047
3.818180,0.927812
3.416670,0.908047
3.396040,0.902891
3.329410,0.903750
3.718750,0.907187
3.360000,0.894297
3.470590,0.913203
3.756100,0.924375
3.948720,0.930391
3.894370,0.929531
3.629630,0.917500
3.531250,0.917500
3.178220,0.895156
3.941180,0.933828
3.333330,0.904609
3.437500,0.910625
3.430460,0.910625
3.606060,0.916641
3.782310,0.923516
3.409840,0.908906
3.067960,0.886719
3.581400,0.916641
3.892860,0.926094
3.479670,0.914922
3.750000,0.923516
3.489580,0.912344
3.770270,0.916641
3.442860,0.911484
3.875000,0.928672
3.506020,0.914062
3.470590,0.908047
3.101450,0.885742
3.560000,0.910625
3.061220,0.884766
3.842860,0.927812
3.727270,0.921797
3.763640,0.923516
3.956520,0.920938
3.147730,0.891719
3.933330,0.927812
3.838710,0.925234
3.400000,0.906328
3.437500,0.912344
3.778760,0.925234
3.720720,0.920938
3.325000,0.902891
3.604650,0.918359
3.117650,0.890859
3.265310,0.889648
3.150000,0.892578
3.195120,0.893438
3.576090,0.913203
3.815380,0.925234
3.541900,0.914922
3.567900,0.901172
3.617650,0.912344
3.129030,0.891719
3.666670,0.920938
3.350880,0.907187
3.857140,0.926953
3.554220,0.917500
3.624310,0.919219
3.523360,0.914922
3.461040,0.910625
3.901640,0.931250
3.384620,0.895156
3.750000,0.922656
3.553850,0.916641
3.333330,0.906328
3.894310,0.926094
3.884620,0.927812
3.857140,0.926953
3.964910,0.930391
3.666670,0.922656
3.271190,0.887695
3.130430,0.891719
3.928570,0.931250
3.188520,0.885742
3.782610,0.927812
3.813080,0.925234
3.873560,0.919219
3.364960,0.907187
3.631580,0.920938
3.926830,0.931250
3.611110,0.920078
3.609520,0.917500
3.964600,0.928672
3.719300,0.924375
3.923080,0.929531
3.500000,0.914922
3.204550,0.894297
3.424240,0.908906
3.769230,0.919219
3.908210,0.929531
3.919190,0.931250
3.531910,0.916641
3.161290,0.893438
3.075000,0.886719
3.852460,0.926953
3.405800,0.910625
3.282830,0.903750
3.750000,0.923516
3.493240,0.912344
3.846560,0.919219
3.576920,0.919219
3.565220,0.900313
3.873910,0.927812
3.660490,0.920078
3.084750,0.886719
3.710530,0.913203
3.543210,0.915781
3.608700,0.919219
3.380950,0.910625
3.791040,0.924375
3.851350,0.925234
3.194810,0.890625
3.660000,0.920938
3.585370,0.917500
3.316830,0.905469
3.685710,0.926094
3.260870,0.897734
3.284210,0.903750
3.865980,0.926953
3.875000,0.929531
3.738320,0.924375
3.833330,0.923516
3.402600,0.908047
3.912550,0.931250
3.645390,0.920078
3.358210,0.905469
3.963860,0.932969
3.888890,0.917500
3.285710,0.901172
3.196080,0.896875
3.620920,0.907187
3.282830,0.896875
3.695650,0.924375
3.333330,0.905469
3.813730,0.923516
3.050000,0.884766
3.247520,0.895156
3.837210,0.928672
3.178220,0.891719
3.204550,0.895156
3.200000,0.900313
3.421050,0.908047
3.080650,0.885742
3.803570,0.926953
3.876400,0.910625
3.345240,0.905469
3.851060,0.931250
3.895160,0.926953
3.965120,0.929531
3.412500,0.911484
3.486910,0.914922
3.400000,0.905469
3.320310,0.904609
3.625000,0.915781
3.346670,0.899453
3.340430,0.906328
3.054050,0.885742
3.415840,0.910625
3.896300,0.926953
3.175260,0.894297
3.181820,0.894297
3.082470,0.888672
3.833330,0.925234
3.864860,0.929531
3.702130,0.905469
3.812500,0.924375
